id,name,type,ra_hours,dec_deg,mag,size_arcmin,constellation,description
vdB 1,V651 Cas,RN,0.1867,58.6167,13.0,4.5,Cas,Modrá reflexní mlhovina vhodná pro barevné snímky
vdB 2,LBN 581,RN,0.1983,59.1333,14.0,5.0,Cas,Slabá reflexní mlhovina vhodná pro delší expozice
vdB 3,LBN 583,RN,0.2583,58.8333,14.5,4.0,Cas,Malá reflexní mlhovina vhodná pro detailní snímky
vdB 4,NGC 225,RN,0.7233,61.7833,11.0,5.0,Cas,Reflexní mlhovina u hvězdokupy vhodná pro široká pole
vdB 5,LBN 599,RN,0.7817,63.1167,13.5,6.0,Cas,Rozlehlá slabá mlhovina vhodná pro delší expozice
vdB 6,IC 1590,RN,0.8800,63.3167,11.5,8.0,Cas,Reflexní mlhovina v NGC 281 vhodná pro barevné snímky
vdB 7,LBN 618,RN,1.2183,58.5500,14.0,2.0,Cas,Kompaktní reflexní mlhovina vhodná pro detailní foto
vdB 8,LBN 624,RN,1.3850,58.5333,14.5,2.5,Cas,Slabá reflexní mlhovina vhodná pro delší expozice
vdB 9,LBN 627,RN,1.4850,58.8333,14.2,3.0,Cas,Prachový obal hvězdy vhodný pro delší expozice
vdB 10,NGC 7023,RN,21.0250,68.1667,7.0,18.0,Cep,Jasná Iris Nebula ideální pro barevné širokoúhlé snímky
vdB 11,LBN 642,RN,2.6283,70.8333,13.8,4.0,Cas,Reflexní mlhovina v bohatém poli vhodná pro barevné foto
vdB 12,LBN 644,RN,2.6983,69.1167,14.0,2.0,Cas,Malý prachový chomáč vhodný pro detailní snímky
vdB 13,LBN 646,RN,2.7817,67.3167,13.2,5.0,Cas,Reflexní mlhovina u hvězdy vhodná pro barevné snímky
vdB 14,LBN 658,RN,3.4833,59.8833,13.5,4.0,Cam,Reflexní mlhovina vhodná pro delší expozice
vdB 15,LBN 661,RN,3.4917,59.6500,13.0,15.0,Cam,Velký reflexní komplex vhodný pro široká pole
vdB 16,LBN 670,RN,3.6333,53.2167,12.5,6.0,Per,Reflexní mlhovina u hvězdy mag 8 vhodná pro barevné foto
vdB 17,LBN 681,RN,3.7717,47.8167,14.0,3.0,Per,Slabá reflexní mlhovina vhodná pro delší expozice
vdB 18,LBN 688,RN,3.8717,49.6333,14.2,2.0,Per,Malý reflexní disk vhodný pro detailní snímky
